setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
10,2021,08/03/2021,14/03/2021,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,80 o més,3,1.00,1846.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,5.00,19453.00
41,2020,05/10/2020,11/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,5.00,6330.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,16.00,15492.00
9,2022,28/02/2022,06/03/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,1.00,7260.00
40,2020,28/09/2020,04/10/2020,64,GIRONA,6400,GIRONA,Home,80 o més,3,5.00,10222.00
21,2020,18/05/2020,24/05/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,3.00,6201.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,1,1.00,30903.00
41,2020,05/10/2020,11/10/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,3,1.00,19181.00
10,2021,08/03/2021,14/03/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,7.00,29558.00
42,2022,17/10/2022,23/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,1.00,30874.00
3,2022,17/01/2022,23/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,4,1.00,6880.00
12,2022,21/03/2022,27/03/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,2.00,16721.00
43,2020,19/10/2020,25/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,2.00,18496.00
21,2020,18/05/2020,24/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,2,1.00,68643.00
48,2021,29/11/2021,05/12/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,1.00,21237.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,2,43.00,8432.00
40,2020,28/09/2020,04/10/2020,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,1.00,5540.00
11,2021,15/03/2021,21/03/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,1,1.00,31142.00
29,2022,18/07/2022,24/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,3.00,15077.00
50,2020,07/12/2020,13/12/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,2.00,5749.00
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,2.00,6024.00
11,2020,09/03/2020,15/03/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,1.00,4877.00
38,2021,20/09/2021,26/09/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,1.00,34790.00
7,2021,15/02/2021,21/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,3.00,7537.00
32,2022,08/08/2022,14/08/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,80 o més,3,1.00,1796.00
1,2022,03/01/2022,09/01/2022,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,70 a 79,3,1.00,2778.00
13,2021,29/03/2021,04/04/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14788.00
11,2022,14/03/2022,20/03/2022,61,LLEIDA,6100,LLEIDA,Dona,60 a 69,3,1.00,12568.00
16,2020,13/04/2020,19/04/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,2,2.00,2301.00
3,2021,18/01/2021,24/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,11.00,7537.00
5,2021,01/02/2021,07/02/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 59,3,1.00,37032.00
